"Date of Case",Reference,"Notification From","Country Origin",Product,"Product Category","Hazard Substance","Hazard Category"
"Oct 29, 2024","2024.7943",Poland,China,"Kubek melamina 75x110 mm/// Melamine mug 75x110 mm","Food contact materials","Formaldehyde - migration - migration; Formaldehyde - migration - migration","Migration; Migration"
"Oct 29, 2024","2024.7940",Greece,Sudan,"SESAME SEEDS","Nuts, nut products and seeds",,
"Oct 29, 2024","2024.7939",Greece,Sudan,"SESAME SEEDS","Nuts, nut products and seeds",,
"Oct 28, 2024","2024.7938",France,France,"neck skins","Meat and meat products (other than poultry)","Salmonella typhimurium - pathogenic micro-organisms","Pathogenic micro-organisms"
"Oct 28, 2024","2024.7937",Lithuania,Ukraine,"Fillets of broiler chickens","Poultry meat and poultry meat products","Salmonella Coeln - pathogenic micro-organisms","Pathogenic micro-organisms"
"Oct 28, 2024","2024.7936",Austria,"Türkiye",Pears,"Fruits and vegetables","Diflubenzuron - pesticide residues","Pesticide residues"
"Oct 28, 2024","2024.7935",Germany,Germany,"Ice cubes","Other food product / mixed",,
"Oct 28, 2024","2024.7933",Netherlands,Germany,"Avena Nuda","Cereals and bakery products","Cadmium - heavy metals","Heavy metals"
"Oct 28, 2024","2024.7932",Poland,Egypt,"Frozen apricots","Fruits and vegetables","Cyfluthrin - pesticide residues; Imidacloprid - pesticide residues; Methomyl - pesticide residues; Cyfluthrin - pesticide residues; Imidacloprid - pesticide residues","Pesticide residues; Pesticide residues; Pesticide residues; Pesticide residues; Pesticide residues"
"Oct 28, 2024","2024.7929",Italy,"Türkiye","Fichi secchi","Fruits and vegetables","Ochratoxin A - mycotoxins",Mycotoxins
"Oct 28, 2024","2024.7928",France,France,"Pâté de campagne IGP","Meat and meat products (other than poultry)","Listeria monocytogenes - pathogenic micro-organisms","Pathogenic micro-organisms"
"Oct 28, 2024","2024.7926",Italy,"Türkiye","Dried figs","Fruits and vegetables","Aflatoxin total - mycotoxins",Mycotoxins
"Oct 28, 2024","2024.7925",Lithuania,Poland,Fishmeal,"Feed materials","Salmonella infantis - pathogenic micro-organisms; Salmonella Montevideo - pathogenic micro-organisms; Enterobacteriaceae - high count - non-pathogenic micro-organisms","Pathogenic micro-organisms; Pathogenic micro-organisms; Non-pathogenic micro-organisms"
"Oct 28, 2024","2024.7924",Italy,"Türkiye","Dried figs","Fruits and vegetables","Ochratoxin A - mycotoxins",Mycotoxins
"Oct 28, 2024","2024.7922",Netherlands,"United States",Groundnuts,"Nuts, nut products and seeds","Aflatoxin B1 - mycotoxins; Aflatoxin total - mycotoxins","Mycotoxins; Mycotoxins"
"Oct 28, 2024","2024.7921",Italy,"Türkiye","FICHI SECCHI","Fruits and vegetables","Ochratoxin A - mycotoxins",Mycotoxins
"Oct 28, 2024","2024.7920",Germany,Poland,"Chicken breasts","Poultry meat and poultry meat products","Campylobacter coli - pathogenic micro-organisms","Pathogenic micro-organisms"
"Oct 28, 2024","2024.7919",Denmark,Poland,Duck,"Poultry meat and poultry meat products",,
"Oct 28, 2024","2024.7916",Romania,Hungary,"Hrana completa pentru cinteze /// Complete food for finches","Compound feeds","Ambrosia - undeclared - allergens",Allergens
"Oct 28, 2024","2024.7915",Romania,Hungary,"Hrana completa pentru perusi // Complete food for parakeets","Compound feeds","Ambrosia - undeclared - allergens",Allergens
"Oct 28, 2024","2024.7914",Bulgaria,"Türkiye","Crushed or ground","Herbs and spices","Pyrrolizidine alkaloids - natural toxins (other)","Natural toxins (other)"
"Oct 28, 2024","2024.7913",Bulgaria,"Türkiye","Sweet peppers","Fruits and vegetables","Chlorpyrifos-methyl - unauthorised substance - pesticide residues","Pesticide residues"
"Oct 28, 2024","2024.7912",Italy,Italy,Salame,"Meat and meat products (other than poultry)","Salmonella spp - pathogenic micro-organisms","Pathogenic micro-organisms"
"Oct 27, 2024","2024.7906",Spain,Spain,"HUEVO ENTERO PASTERIZADO","Eggs and egg products","Salmonella - pathogenic micro-organisms; Salmonella - pathogenic micro-organisms","Pathogenic micro-organisms; Pathogenic micro-organisms"
"Oct 25, 2024","2024.7898",France,"Hong Kong",Ramen,"Prepared dishes and snacks",,
"Oct 25, 2024","2024.7897",Belgium,France,MaIze,"Feed materials","T-2 toxin - mycotoxins; T-2 toxin - mycotoxins","Mycotoxins; Mycotoxins"
"Oct 25, 2024","2024.7896",Slovenia,,"Peppers (Capsicum spp.)","Fruits and vegetables","Formetanate - pesticide residues","Pesticide residues"
"Oct 25, 2024","2024.7895",France,"South Africa","Avocados Hass","Fruits and vegetables","Prochloraz - pesticide residues; Azoxystrobin - pesticide residues","Pesticide residues; Pesticide residues"
"Oct 25, 2024","2024.7894",Netherlands,Poland,"Chicken fillet","Poultry meat and poultry meat products","Salmonella Enteritidis - pathogenic micro-organisms","Pathogenic micro-organisms"
"Oct 25, 2024","2024.7893",Spain,China,"Tripa seca laminada // Dried laminated casing","Meat and meat products (other than poultry)","Nitrofuran (metabolite) nitrofurazone (SEM) - prohibited substance - residues of veterinary medicinal products; Nitrofuran (metabolite) nitrofurazone (SEM) - prohibited substance - residues of veterinary medicinal products","Residues of veterinary medicinal products; Residues of veterinary medicinal products"
"Oct 25, 2024","2024.7892",Germany,Italy,"Rocket salad","Fruits and vegetables","Salmonella spp. - pathogenic micro-organisms","Pathogenic micro-organisms"
"Oct 25, 2024","2024.7891",Italy,Spain,"Cozze (Mytilus galloprovincialis MSM)","Bivalve molluscs and products thereof","Escherichia coli - pathogenic micro-organisms","Pathogenic micro-organisms"
"Oct 25, 2024","2024.7890",France,Brazil,"Soybean meal 48","Feed materials","Salmonella typhimurium - pathogenic micro-organisms","Pathogenic micro-organisms"
"Oct 25, 2024","2024.7889",Germany,"Türkiye","Halva with vanilla",Confectionery,"Salmonella Colindale - pathogenic micro-organisms","Pathogenic micro-organisms"
"Oct 25, 2024","2024.7888",Germany,Ecuador,"Feed material (calcium salt of fatty acids)","Feed materials","Chlorpyrifos - pesticide residues","Pesticide residues"
"Oct 25, 2024","2024.7885",Belgium,Belgium,"Raw petfood for dogs","Pet food",,
"Oct 25, 2024","2024.7883",Finland,India,"Tuvar beans","Fruits and vegetables","Chlorpyrifos - pesticide residues","Pesticide residues"
"Oct 25, 2024","2024.7882",France,France,"Crottin de chavignol","Milk and milk products","E.coli - pathogenic micro-organisms","Pathogenic micro-organisms"
"Oct 25, 2024","2024.7880",Spain,"United States","Complemento alimentario con vitamina B6 /// Food supplement with vitamin B6","Soups, broths, sauces and condiments",,
"Oct 25, 2024","2024.7879",Bulgaria,"United States","Shelled, whether or not broken","Nuts, nut products and seeds","Aflatoxin B1 - mycotoxins; Aflatoxin - mycotoxins","Mycotoxins; Mycotoxins"
"Oct 25, 2024","2024.7878",France,"Türkiye","Dried figs","Fruits and vegetables","Aflatoxin B1 - mycotoxins; Aflatoxin total - mycotoxins","Mycotoxins; Mycotoxins"
"Oct 25, 2024","2024.7875",Italy,"Türkiye","Ceci Tostati","Fruits and vegetables","Colour E 171 - titanium dioxide - unauthorised use - food additives and flavourings","Food additives and flavourings"
"Oct 25, 2024","2024.7874",Germany,Senegal,Hibiscus,"Herbs and spices","Chlorpyrifos - pesticide residues","Pesticide residues"
"Oct 25, 2024","2024.7870",Greece,"Türkiye",Tomatoes,"Fruits and vegetables","Chlorpyrifos - unauthorised substance - pesticide residues; Indoxacarb - pesticide residues","Pesticide residues; Pesticide residues"
"Oct 25, 2024","2024.7868",Poland,Ukraine,"Chicken meat","Poultry meat and poultry meat products","Toltrazuril - residue level above MRL - residues of veterinary medicinal products","Residues of veterinary medicinal products"
"Oct 25, 2024","2024.7867",Spain,Brazil,"Carne de ave de corral / Poultry meat","Poultry meat and poultry meat products",,
"Oct 25, 2024","2024.7866",Spain,China,"Cacahuetes / Groundnuts","Nuts, nut products and seeds","Aflatoxin B1 - mycotoxins; Aflatoxins - mycotoxins","Mycotoxins; Mycotoxins"
"Oct 25, 2024","2024.7864",Belgium,Belgium,"Frozen snack","Prepared dishes and snacks",,
"Oct 25, 2024","2024.7859",Poland,India,"Kurkuma mielona /// Turmeric powder","Herbs and spices","Salmonella spp. - pathogenic micro-organisms","Pathogenic micro-organisms"
"Oct 25, 2024","2024.7857",Sweden,"United States","Food Supplement","Dietetic foods, food supplements and fortified foods",,
"Oct 25, 2024","2024.7855",Belgium,Poland,Buckwheat,"Feed materials","Ragweed (Ambrosia spp.) seeds - too high content of - composition",Composition
"Oct 25, 2024","2024.7854",Germany,Mexico,"Strawberry lemonade","Non-alcoholic beverages","E 210 - benzoic acid - too high content - food additives and flavourings; Brominated vegetable oil (BVO) - unauthorised food additive - food additives and flavourings","Food additives and flavourings; Food additives and flavourings"
"Oct 25, 2024","2024.7853",Germany,Lithuania,Sprats,"Fish and fish products","Listeria - pathogenic micro-organisms","Pathogenic micro-organisms"
"Oct 25, 2024","2024.7851",Bulgaria,"Türkiye","Dried figs","Fruits and vegetables","Aflatoxin B1 - mycotoxins; Aflatoxin total - mycotoxins","Mycotoxins; Mycotoxins"
"Oct 25, 2024","2024.7849",Bulgaria,"Türkiye","Dried figs","Fruits and vegetables","Aflatoxin B1 - mycotoxins; Aflatoxin total - mycotoxins","Mycotoxins; Mycotoxins"
"Oct 25, 2024","2024.7848",Bulgaria,"Türkiye","Dried figs","Fruits and vegetables","Aflatoxin - mycotoxins; Aflatoxin total - mycotoxins","Mycotoxins; Mycotoxins"
"Oct 25, 2024","2024.7847",Bulgaria,"Türkiye","Dried figs","Fruits and vegetables","Aflatoxin B1 - mycotoxins; Aflatoxin total - mycotoxins","Mycotoxins; Mycotoxins"
"Oct 25, 2024","2024.7846",Bulgaria,"Türkiye","Dried figs","Fruits and vegetables","Aflatoxin B1 - mycotoxins; Aflatoxin total - mycotoxins","Mycotoxins; Mycotoxins"
"Oct 24, 2024","2024.7845",Germany,Germany,"Food supplements","Dietetic foods, food supplements and fortified foods",,
"Oct 24, 2024","2024.7844",France,"Türkiye","Dried figs","Fruits and vegetables","Aflatoxin B1 - mycotoxins; Aflatoxin total - mycotoxins","Mycotoxins; Mycotoxins"
"Oct 24, 2024","2024.7843",Germany,India,"Chickpea flour","Other food product / mixed","Chlorpyrifos - unauthorised substance - pesticide residues","Pesticide residues"
"Oct 24, 2024","2024.7842",France,"Türkiye","Dried figs","Fruits and vegetables","Aflatoxin B1 - mycotoxins; Aflatoxin total - mycotoxins","Mycotoxins; Mycotoxins"
"Oct 24, 2024","2024.7841",Germany,China,"Jelly confectionery",Confectionery,"Suffocation risk consumption - not determined (other); E 407 - carrageenan - unauthorised - food additives and flavourings; E 415 - xanthan gum - unauthorised - food additives and flavourings; Suffocation risk consumption - not determined (other); E 407 - carrageenan - unauthorised - food additives and flavourings; E 415 - xanthan gum - unauthorised - food additives and flavourings; E 410 - locust bean gum - unauthorised - food additives and flavourings; E 410 - locust bean gum - unauthorised - food additives and flavourings","Not determined (other); Food additives and flavourings; Food additives and flavourings; Not determined (other); Food additives and flavourings; Food additives and flavourings; Food additives and flavourings; Food additives and flavourings"
"Oct 24, 2024","2024.7836",Poland,China,"Zestaw przyborów kuchennych z nylonu (6 elementów) /// Nylon kitchen tools set (6 tools)","Food contact materials","Primary aromatic amines - migration - migration",Migration
"Oct 24, 2024","2024.7835",Poland,India,"Cumin seeds","Herbs and spices","Acetamiprid - pesticide residues; Chlorpyrifos - unauthorised substance - pesticide residues; Benomil/carbendazim - pesticide residues; Clothianidin - pesticide residues; Thiamethoxam - pesticide residues; Tolfenpyrad - pesticide residues; Tricyclazole - unauthorised substance - pesticide residues","Pesticide residues; Pesticide residues; Pesticide residues; Pesticide residues; Pesticide residues; Pesticide residues; Pesticide residues"
"Oct 24, 2024","2024.7832",Slovakia,Norway,"Cod fillets, skin off","Fish and fish products","Anisakis - parasitic infestation with - parasitic infestation","Parasitic infestation"
"Oct 24, 2024","2024.7831",Germany,India,"Bottle gourd","Fruits and vegetables","Acephate - unauthorised substance - pesticide residues; Methamidophos - unauthorised substance - pesticide residues","Pesticide residues; Pesticide residues"
"Oct 24, 2024","2024.7829",Netherlands,Japan,"3 soybean products with bonito","Other food product / mixed",,
"Oct 24, 2024","2024.7828",Greece,India,"Hulled sesame seeds from India","Nuts, nut products and seeds","Salmonella - pathogenic micro-organisms","Pathogenic micro-organisms"
"Oct 24, 2024","2024.7825",Italy,Italy,"Luganega stagionata","Meat and meat products (other than poultry)","Salmonella - pathogenic micro-organisms","Pathogenic micro-organisms"
"Oct 24, 2024","2024.7819",Lithuania,Ukraine,"Frozen chicken breast","Poultry meat and poultry meat products","Salmonella Senftenberg - pathogenic micro-organisms; Salmonella Liverpool - pathogenic micro-organisms","Pathogenic micro-organisms; Pathogenic micro-organisms"
"Oct 24, 2024","2024.7817",Romania,India,"FOOD SUPPLEMENTS ORIGIN INDIA","Dietetic foods, food supplements and fortified foods","Ethylene oxide - pesticide residues","Pesticide residues"
"Oct 24, 2024","2024.7816",Italy,Spain,"Filone di pesce spada decongelato preparato // prepared thawed vacuum-packed swordfish loins","Fish and fish products","Mercury - heavy metals","Heavy metals"
"Oct 24, 2024","2024.7813",Romania,China,"Green tea","Cocoa and cocoa preparations, coffee and tea","Dinotefuran - unauthorised substance - pesticide residues; Tolfenpyrad - pesticide residues; Lambda-cyhalothrin - pesticide residues","Pesticide residues; Pesticide residues; Pesticide residues"
"Oct 24, 2024","2024.7807",Bulgaria,"Türkiye",Pomegranates,"Fruits and vegetables","Acetamiprid - pesticide residues","Pesticide residues"
"Oct 23, 2024","2024.7806",Estonia,Latvia,"Vormitud salaami seakeelega /Fonneta salami ar meli, vanta /skeles","Meat and meat products (other than poultry)","Listeria monocytogenes - pathogenic micro-organisms","Pathogenic micro-organisms"
"Oct 23, 2024","2024.7805",France,,Noodles,"Prepared dishes and snacks",,
"Oct 23, 2024","2024.7804",Norway,Afghanistan,"Raisins (named white in the invoice)","Fruits and vegetables","Chlorpyrifos - unauthorised substance - pesticide residues","Pesticide residues"
"Oct 23, 2024","2024.7803",Belgium,"Czech Republic","Gummies, chocolate and caramel",Confectionery,,
"Oct 23, 2024","2024.7802",Germany,Egypt,Tahini,"Nuts, nut products and seeds","Salmonella group E - pathogenic micro-organisms","Pathogenic micro-organisms"
"Oct 23, 2024","2024.7801",Ireland,Netherlands,"CBD Oil","Dietetic foods, food supplements and fortified foods",,
"Oct 23, 2024","2024.7800",Italy,China,"Black tea","Cocoa and cocoa preparations, coffee and tea","Dinotefuran - unauthorised substance - pesticide residues; Difenoconazole - pesticide residues; Pyraclostrobin - pesticide residues","Pesticide residues; Pesticide residues; Pesticide residues"
"Oct 23, 2024","2024.7799","European Commission",Moldova,"Various POAO – cooked meat with meat fat, cheese, cooked fish, raw milk","Other food product / mixed",,
"Oct 23, 2024","2024.7795",Austria,"Türkiye","Birnen / pears","Fruits and vegetables","Diflubenzuron - pesticide residues","Pesticide residues"
"Oct 23, 2024","2024.7794",Sweden,India,"Crushed or ground","Herbs and spices","Chlorpyriphos-ethyl - pesticide residues","Pesticide residues"
"Oct 23, 2024","2024.7793",Belgium,"Guatemala; Netherlands","Sesame seeds","Nuts, nut products and seeds","Chlorpyrifos - pesticide residues","Pesticide residues"
"Oct 23, 2024","2024.7789",Ireland,Spain,"Tuna Loin","Fish and fish products","Mercury - heavy metals","Heavy metals"
"Oct 23, 2024","2024.7779",Slovenia,"unknown origin","Food supplement","Dietetic foods, food supplements and fortified foods",,
"Oct 23, 2024","2024.7778",Italy,Germany,"FARINA DI CARNE","Animal by-products","Salmonella - pathogenic micro-organisms","Pathogenic micro-organisms"
"Oct 23, 2024","2024.7776",Ireland,Germany,"Organic pumpkin seeds","Nuts, nut products and seeds",,
"Oct 23, 2024","2024.7775",Belgium,Spain,"Gummies with cannabinoids and Kratom",Confectionery,,
"Oct 23, 2024","2024.7769",Denmark,Kenya,"Sugar snap peas","Fruits and vegetables","Chlorothalonil - pesticide residues","Pesticide residues"
"Oct 23, 2024","2024.7767",Italy,Albania,"Frozen squid breaded skewers, frozen prawn and squid skewers and frozen squids in block","Fish and fish products",,
"Oct 23, 2024","2024.7766",Greece,Nigeria,"SESAME SEEDS","Nuts, nut products and seeds","Salmonella - pathogenic micro-organisms","Pathogenic micro-organisms"
"Oct 22, 2024","2024.7764","Czech Republic","Czech Republic; Poland","Chilled chicken meat - legs without bone","Poultry meat and poultry meat products","Salmonella Senftenberg - pathogenic micro-organisms","Pathogenic micro-organisms"
"Oct 22, 2024","2024.7763",Italy,Italy,"Farro pesto e pomodori//spelt with tomatoes and pesto","Prepared dishes and snacks","Salmonella group C1 - pathogenic micro-organisms","Pathogenic micro-organisms"
"Oct 22, 2024","2024.7762",Ireland,Ireland,"Blue Cheese made from raw cow's milk","Milk and milk products",,
"Oct 22, 2024","2024.7761",Spain,Vietnam,"Almejas / Clams","Bivalve molluscs and products thereof","Egg - undeclared - allergens",Allergens
"Oct 22, 2024","2024.7760",Belgium,Iran,Sultana,"Fruits and vegetables","Chlorpyrifos - unauthorised substance - pesticide residues; Fenvalerate - pesticide residues","Pesticide residues; Pesticide residues"
"Oct 22, 2024","2024.7759",Denmark,Sweden,"Dried beans","Fruits and vegetables",,
"Oct 22, 2024","2024.7756",Switzerland,Philippines,"Noodles asian style","Cereals and bakery products","Colour E 102 - tartrazine - unauthorised use - food additives and flavourings","Food additives and flavourings"
"Oct 22, 2024","2024.7755",Austria,Madagascar,"Black Eyed Beans","Fruits and vegetables","Chlorpyrifos - pesticide residues","Pesticide residues"
"Oct 22, 2024","2024.7754",Netherlands,India,Rice,"Cereals and bakery products","Thifluzamide - unauthorised substance - pesticide residues","Pesticide residues"
"Oct 22, 2024","2024.7749",Spain,Pakistan,"Arroz largo / long rice","Cereals and bakery products","Ochratoxin A - mycotoxins; Aflatoxin B1 - mycotoxins","Mycotoxins; Mycotoxins"
"Oct 22, 2024","2024.7748",Spain,China,"Pescado (merluza) / Fish (hake)","Fish and fish products",,
"Oct 22, 2024","2024.7747",Poland,Poland,"Filety z piersi kurczaka // Chicken fillet","Poultry meat and poultry meat products","Salmonella infantis - pathogenic micro-organisms","Pathogenic micro-organisms"
"Oct 22, 2024","2024.7745",Germany,Netherlands,"Lamb's lettuce mix","Fruits and vegetables","Escherichia coli verotoxin producing - pathogenic micro-organisms","Pathogenic micro-organisms"
"Oct 22, 2024","2024.7744",Ireland,"unknown origin","Tuna Steak (Sashimi Yellowfin Tuna Centre Cut Loin)","Fish and fish products","Mercury - heavy metals","Heavy metals"
"Oct 22, 2024","2024.7743",Spain,Brazil,"Carne de ave de corral / Poultry meat","Poultry meat and poultry meat products",,
"Oct 22, 2024","2024.7742",Ireland,Germany,"Organic quinoa flakes","Other food product / mixed",,
"Oct 22, 2024","2024.7739",Ireland,Ireland,"Nephrops (nephrons norvegicus)","Crustaceans and products thereof","Cadmium - heavy metals","Heavy metals"
"Oct 22, 2024","2024.7738",Germany,Thailand,Pitahaya,"Fruits and vegetables","Alpha-cypermethrin - pesticide residues; Propiconazole - pesticide residues","Pesticide residues; Pesticide residues"
"Oct 22, 2024","2024.7737",Hungary,Ukraine,"Chicken meat","Poultry meat and poultry meat products","Salmonella infantis - pathogenic micro-organisms","Pathogenic micro-organisms"
"Oct 22, 2024","2024.7736",Belgium,China,"Kudzu root extract","Other food product / mixed","Polycyclic aromatic hydrocarbons heavy - environmental pollutants","Environmental pollutants"
"Oct 22, 2024","2024.7735",Italy,"Türkiye","shelled pistachios","Fruits and vegetables","Aflatoxin B1 - mycotoxins; Aflatoxin total - mycotoxins; Ochratoxin A - mycotoxins","Mycotoxins; Mycotoxins; Mycotoxins"
"Oct 22, 2024","2024.7734",France,"Türkiye","Dried figs","Fruits and vegetables","Aflatoxin B1 - mycotoxins",Mycotoxins
"Oct 22, 2024","2024.7733",Portugal,"United Kingdom","Preparations with a basis of these extracts, essences or concentrates of coffee","Cocoa and cocoa preparations, coffee and tea",,
"Oct 22, 2024","2024.7732",France,"Türkiye","Dried figs","Fruits and vegetables","Aflatoxin B1 - mycotoxins",Mycotoxins
"Oct 22, 2024","2024.7731",France,France,Praires,"Bivalve molluscs and products thereof","E.coli - pathogenic micro-organisms","Pathogenic micro-organisms"
"Oct 22, 2024","2024.7730",France,Spain,Squid,"Cephalopods and products thereof","Cadmium - heavy metals","Heavy metals"
"Oct 22, 2024","2024.7729",Netherlands,China,Eggs,"Eggs and egg products",,
"Oct 22, 2024","2024.7725",Netherlands,"United States",Peanuts,"Nuts, nut products and seeds","Aflatoxin B1 - mycotoxins",Mycotoxins
"Oct 22, 2024","2024.7724",Netherlands,Nigeria,"Sesame seeds","Nuts, nut products and seeds","Salmonella spp - pathogenic micro-organisms","Pathogenic micro-organisms"
"Oct 22, 2024","2024.7723",Italy,"Türkiye","Dried figs","Fruits and vegetables","Aflatoxin B1 - mycotoxins; Aflatoxin total - mycotoxins","Mycotoxins; Mycotoxins"
"Oct 22, 2024","2024.7722",Italy,"Türkiye","Dried figs","Fruits and vegetables","Aflatoxin total - mycotoxins; Aflatoxin B1 - mycotoxins; Ochratoxin A - mycotoxins","Mycotoxins; Mycotoxins; Mycotoxins"
"Oct 22, 2024","2024.7721",Italy,"Türkiye","Dried figs","Fruits and vegetables","Ochratoxin A - mycotoxins; Aflatoxin B1 - mycotoxins; Aflatoxin total - mycotoxins","Mycotoxins; Mycotoxins; Mycotoxins"
